Sr,Words,P.O.S,Level,Nepali Word
622,credit,Noun Verb,"A2, B2",क्रेडिट
623,crew,Noun,B2,चालक दल
624,crime,Noun,A2,अपराध
625,criminal,Noun Adjective,"A2, B1",आपराधिक
626,crisis,Noun,B2,संकट
627,criterion,Noun,B2,मापदण्ड
628,critic,Noun,B2,आलोचक
629,critical,Adjective,B2,महत्वपूर्ण
630,criticism,Noun,B2,आलोचना
631,criticize,Verb,B2,आलोचना
632,crop,Noun,B2,क्रप
633,cross,Verb Noun,A2,पार
634,crowd,Noun,A2,भीड
635,crowded,Adjective,A2,भीड
636,crucial,Adjective,B2,महत्वपूर्ण
637,cruel,Adjective,B1,क्रूर
638,cry,Verb Noun,"A2, B2",कराउँदै
639,cultural,Adjective,B1,सांस्कृतिक
640,culture,Noun,A1,संस्कृति
641,cup,Noun,A1,कप
642,cupboard,Noun,A2,अल्मारी
643,cure,Verb Noun,B2,उपचार
644,curly,Adjective,A2,घुम्रेको
645,currency,Noun,B1,मुद्रा
646,current,"Adjective, Noun","B1, B2",वर्तमान
647,currently,Adverb,B1,हाल
648,curtain,Noun,B1,पर्दा
649,curve,Noun Verb,B2,वक्र
650,curved,Adjective,B2,बाङ्गो
651,custom,Noun,B1,अनुकूलन
652,customer,Noun,A1,ग्राहक
653,cut,"Verb , Noun","A1, B1",कट
654,cycle,Noun Verb,"A2, B1",चक्र
655,dad,Noun,A1,पिताजी
656,daily,"Adjective, Adverb","A2, B1",दैनिक
657,damage,Noun Verb,B1,क्षति
658,dance,Noun Verb,A1,नृत्य
659,dancer,Noun,A1,नर्तक
660,dancing,Noun,A1,नृत्य
661,danger,Noun,A2,खतरा
662,dangerous,Adjective,A1,खतरनाक
663,dark,"Adjective, Noun","A1, A2",गाढा
664,data,Noun,A2,डाटा
665,date,Noun Verb,"A1, B2",मिति
666,daughter,Noun,A1,छोरी
667,day,Noun,A1,दिन
668,dead,Adjective,A2,मृत
669,deal,Verb Noun,"A2, B1",सम्झौता
670,dear,"Adjective, exclam","A1, A2",प्रिय
671,death,Noun,A2,मृत्यु
672,debate,Noun Verb,B2,बहस
673,debt,Noun,B2,ऋण
674,decade,Noun,B1,दशक
675,December,Noun,A1,डिसेम्बर
676,decent,Adjective,B2,सभ्य
677,decide,Verb,A1,निर्णय
678,decision,Noun,A2,निर्णय
679,declare,Verb,B2,घोषणा
680,decline,Verb Noun,B2,गिरावट
681,decorate,Verb,B1,सजाने
682,decoration,Noun,B2,सजावट
683,decrease,Verb Noun,B2,कमी
684,deep,"Adjective, Adverb","A2, B1",गहिरो
685,deeply,Adverb,B2,गहिरो
686,defeat,Verb Noun,B2,हार
687,defence,Noun,B2,रक्षा
688,defend,Verb,B2,रक्षा
689,define,Verb,B1,परिभाषित
690,definite,Adjective,B1,निश्चित
691,definitely,Adverb,A2,निश्चित
692,definition,Noun,B1,परिभाषा
693,degree,Noun,A2,डिग्री
694,delay,Verb Noun,B2,ढिला
695,deliberate,Adjective,B2,जानिजानि
696,deliberately,Adverb,B2,जानाजानी
697,delicious,Adjective,A1,स्वादिष्ट
698,delight,Verb Noun,B2,आनन्द
699,delighted,Adjective,B2,खुसी
700,deliver,Verb,B1,उद्धार
701,delivery,Noun,B2,वितरण
702,demand,Noun Verb,B2,माग
703,demonstrate,Verb,B2,देखाउन
704,dentist,Noun,A2,दन्त चिकित्सक
705,deny,Verb,B2,अस्वीकार
706,department,Noun,A2,विभाग
707,departure,Noun,B1,प्रस्थान
708,depend,Verb,A2,निर्भर
709,depressed,Adjective,B2,उदास
710,depressing,Adjective,B2,depressing
711,depth,Noun,B2,गहिराई
712,describe,Verb,A1,वर्णन
713,description,Noun,A1,विवरण
714,desert,Noun Verb,"A2, B2",मरुभूमि
715,deserve,Verb,B2,पाउन योग्य
716,design,Noun Verb,A1,डिजाइन
717,designer,Noun,A2,डिजाइनर
718,desire,Noun Verb,B2,इच्छा
719,desk,Noun,A1,डेस्क
720,desperate,Adjective,B2,निराशाजनक
721,despite,prep,B1,बावजुद
722,destination,Noun,B1,गन्तव्य
723,destroy,Verb,A2,नष्ट
724,detail,Noun Verb,"A1, B2",विस्तार
725,detailed,Adjective,B2,विस्तृत
726,detect,Verb,B2,पत्ता लगाउन
727,detective,Noun,A2,गुप्तचर
728,determine,Verb,B1,निर्धारण
729,determined,Adjective,B1,कटिबद्ध
730,develop,Verb,A2,विकास
731,development,Noun,B1,विकास
732,device,Noun,A2,उपकरण
733,diagram,Noun,B1,रेखाचित्र
734,dialogue,Noun,A1,संवाद
735,diamond,Noun,B1,हीरा
736,diary,Noun,A2,डायरी
737,dictionary,Noun,A1,शब्दकोश
738,die,Verb,A1,मर्न
739,diet,Noun,A1,आहार
740,difference,Noun,A1,फरक
741,different,Adjective,A1,विभिन्न
742,differently,Adverb,A2,फरक
743,difficult,Adjective,A1,कठिन
744,difficulty,Noun,B1,कठिनाई
745,dig,Verb,B2,खन्नु
746,digital,Adjective,A2,डिजिटल
747,dinner,Noun,A1,खाने
748,direct,"Adjective, Verb Adverb","A2, B1",प्रत्यक्ष
749,direction,Noun,A2,निर्देशन
750,directly,Adverb,B1,सीधा
751,director,Noun,A2,निर्देशक
752,dirt,Noun,B1,माटो
753,dirty,Adjective,A1,फोहोर
754,Dis Adverbantage,Noun,B1,DIS Adverbantage
755,disagree,Verb,A2,असहमत
756,disappear,Verb,A2,गायब
757,disappointed,Adjective,B1,निराश
758,disappointing,Adjective,B1,निराशाजनक
759,disaster,Noun,A2,प्रकोप
760,disc,Noun,B2,डिस्क
761,discipline,Noun,B2,अनुशासन
762,discount,Noun Verb,"B1, B2",छुट
763,discover,Verb,A2,पत्ता लगाउनुहोस्
764,discovery,Noun,A2,खोज
765,discuss,Verb,A1,छलफल
766,discussion,Noun,A2,छलफल
767,disease,Noun,A2,रोग
768,dish,Noun,A1,पकवान
769,dishonest,Adjective,B2,बेइमान
770,dislike,Verb Noun,B1,मन नपराइएको
771,dismiss,Verb,B2,खारेज
772,display,Verb Noun,B2,प्रदर्शन
773,distance,Noun,A2,दूरी
774,distribute,Verb,B2,वितरण
775,distribution,Noun,B2,वितरण
776,district,Noun,B2,जिल्ला
777,divide,Verb Noun,"B1, B2",भाग
778,division,Noun,B2,विभाजन
779,divorced,Adjective,A2,छोडपत्र
780,do,Verb auxiliary verb,A1,के
781,doctor,Noun,A1,डाक्टर
782,document,Noun Verb,"A2, B2",कागजात
783,documentary,Noun,B1,वृत्तचित्र
784,dog,Noun,A1,कुकुर
785,dollar,Noun,A1,डलर
786,domestic,Adjective,B2,घरेलू
787,dominate,Verb,B2,हावी
788,donate,Verb,B1,दान
789,door,Noun,A1,ढोका
790,double,"Adjective det. proNoun Verb , Adverb","A2, B1",डबल
792,doubt,Noun Verb,B1,पक्कै
793,down,Adverb Prep,A1,तल
794,download,Verb Noun,A2,डाउनलोड
795,downstairs,"Adverb , Adjective","A1, A2",तल ओर्लेर
796,downwards,Adverb,B2,तल
797,dozen,Noun det,B2,दर्जन
798,draft,Noun Verb,B2,मस्यौदा
799,drag,Verb,B2,तान्नुहोस्
800,drama,Noun,A2,नाटक
801,dramatic,Adjective,B2,नाटकीय
802,draw,Verb,A1,आकर्षित
803,drawing,Noun,A2,रेखाचित्र
804,dream,Noun Verb,A2,सपना
805,dress,Noun Verb,A1,पोशाक
806,dressed,Adjective,B1,लुगा
807,drink,Noun Verb,A1,पेय
808,drive,Verb Noun,"A1, A2",ड्राइभ
809,driver,Noun,A1,चालक
810,driving,Noun,A2,ड्राइभिङ
811,drop,Verb Noun,"A2, B1",ड्रप
812,drug,Noun,A2,औषधि
813,drum,Noun,B1,ड्रम
814,drunk,Adjective,B1,रक्सीले मातेको
815,dry,"Adjective, Verb",A2,सुक्खा
816,due,Adjective,B1,कारण
817,during,prep,A1,समयमा
818,dust,Noun,B1,धूलो
819,duty,Noun,B1,कर्तव्य
820,DVD,Noun,A1,डीभिडी
821,each,det./proNoun/Adverb,A1,प्रत्येक
822,ear,Noun,A1,कान
823,early,Adjective Adverb,A1,प्रारम्भिक
824,earn,Verb,A2,कमाउन
825,earth,Noun,A2,पृथ्वी
826,earthquake,Noun,B1,भूकम्प
827,easily,Adverb,A2,सजिलै
828,east,Noun Adjective Adverb,A1,पूर्व
829,eastern,Adjective,B1,पूर्वी
830,easy,Adjective,A1,सजिलो
831,eat,Verb,A1,खान
832,economic,Adjective,B1,आर्थिक
833,economy,Noun,B1,अर्थव्यवस्था
834,edge,Noun,B1,किनारा
835,edit,Verb,B2,सम्पादन
836,edition,Noun,B2,संस्करण
837,editor,Noun,B1,सम्पादक
838,educate,Verb,B1,शिक्षित
839,educated,Adjective,B1,शिक्षित
840,education,Noun,A2,शिक्षा
841,educational,Adjective,B1,शैक्षिक
842,effect,Noun,A2,असर
843,effective,Adjective,B1,प्रभावकारी
844,effectively,Adverb,B1,प्रभावकारी
845,efficient,Adjective,B2,कुशल
846,effort,Noun,B1,प्रयास
847,egg,Noun,A1,अन्डा
848,eight,number,A1,आठ
849,eighteen,number,A1,अठार
850,eighty,number,A1,असी
851,either,det./proNoun Adverb,A2,या त
852,elderly,Adjective,B2,वृद्ध
853,elect,Verb,B2,चुन्नु
854,election,Noun,B1,चुनाव
855,electric,Adjective,A2,बिजुली
856,electrical,Adjective,A2,विद्युत
857,electricity,Noun,A2,बिजुली
858,electronic,Adjective,A2,इलेक्ट्रोनिक
859,element,Noun,B1,तत्व
860,elephant,Noun,A1,हात्ती
861,eleven,number,A1,एघार
862,else,Adverb,A1,अरू
863,elsewhere,Adverb,B2,अन्यत्र
864,email,Noun Verb,A1,इमेल
865,embarrassed,Adjective,B1,लज्जित
866,embarrassing,Adjective,B1,लाजमर्दो
867,emerge,Verb,B2,निस्कनु
868,emergency,Noun,B1,आपतकालीन
869,emotion,Noun,B1,भावना
870,emotional,Adjective,B2,भावनात्मक
871,emphasis,Noun,B2,जोर
872,emphasize,Verb,B2,जोड
873,employ,Verb,A2,रोजगार
874,employee,Noun,A2,कर्मचारी
875,employer,Noun,A2,कर्मचारी
876,employment,Noun,B1,रोजगार
877,empty,"Adjective, Verb","A2, B1",खाली
878,enable,Verb,B2,सक्षम
879,encounter,Verb Noun,B2,मुठभेड
880,encourage,Verb,B1,प्रोत्साहन
881,end,Noun Verb,A1,अन्त
882,ending,Noun,A2,समाप्त
883,enemy,Noun,B1,शत्रु
884,energy,Noun,A2,ऊर्जा
885,engage,Verb,B2,संलग्न
886,engaged,Adjective,B1,संलग्न
887,engine,Noun,A2,इन्जिन
888,engineer,Noun,A2,इन्जिनियर
889,engineering,Noun,B1,ईन्जिनियरिङ्
890,enhance,Verb,B2,बृद्धि
891,enjoy,Verb,A1,आनन्द
892,enormous,Adjective,A2,भारी
893,enough,det. proNoun Adverb,A1,पर्याप्त
894,enquiry,Noun,B2,जांच
895,ensure,Verb,B2,पक्का गर्नु
896,enter,Verb,A2,प्रविष्ट
897,entertain,Verb,B1,Entertain
898,entertainment,Noun,B1,मनोरञ्जन
899,enthusiasm,Noun,B2,उत्साह
900,enthusiastic,Adjective,B2,उत्साहित
901,entire,Adjective,B2,सम्पूर्ण
902,entirely,Adverb,B2,सम्पूर्ण
903,entrance,Noun,B1,प्रवेश
904,entry,Noun,B1,प्रवेश
905,environment,Noun,A2,वातावरण
906,environmental,Adjective,B1,पर्यावरण
907,episode,Noun,B1,प्रसङ्ग
908,equal,"Adjective, Verb Noun","B1, B2",बराबर
909,equally,Adverb,B1,बराबरी
910,equipment,Noun,A2,उपकरण
911,error,Noun,A2,त्रुटि
912,escape,Verb Noun,B1,उम्कन
913,especially,Adverb,A2,विशेष गरी
914,essay,Noun,A2,निबन्ध
915,essential,Adjective,B1,आवश्यक
916,establish,Verb,B2,स्थापना
917,estate,Noun,B2,सम्पत्ति
918,estimate,Verb Noun,B2,अनुमान
919,ethical,Adjective,B2,नैतिक
920,euro,Noun,A1,यूरो
921,evaluate,Verb,B2,मूल्याङ्कन
922,even,AdVerb Adjective,"A1, B2",पनि
923,evening,Noun,A1,साँझ
924,event,Noun,A1,घटना
925,eventually,Adverb,B1,अन्ततः
926,ever,Adverb,A1,कहिल्यै
927,every,det,A1,हरेक
928,everybody,proNoun,A1,सबैलाई
929,everyday,Adjective,A2,दैनिक
930,everyone,proNoun,A1,सबैलाई
931,everything,proNoun,A1,सबै
932,everywhere,Adverb,A2,सबैतिर
933,evidence,Noun,A2,प्रमाण
934,evil,"Adjective, Noun",B2,खराब
935,exact,Adjective,A2,सही
936,exactly,Adverb,A2,ठ्याक्कै
937,exam,Noun,A1,परीक्षा
938,examination,Noun,B2,परीक्षा
939,examine,Verb,B1,जाँच्न
940,example,Noun,A1,उदाहरणका
941,excellent,Adjective,A2,उत्कृष्ट
942,except,"prep, conj","A2, B1",बाहेक
943,exchange,Noun Verb,B1,विनिमय
944,excited,Adjective,A1,उत्साहित
945,excitement,Noun,B1,उत्तेजना
946,exciting,Adjective,A1,रोमाञ्चक
947,excuse,Noun Verb,B2,क्षमा गर्नुहोस
948,executive,Noun Adjective,B2,कार्यकारी
949,exercise,Noun Verb,A1,व्यायाम
950,exhibition,Noun,B1,प्रदर्शनी
951,exist,Verb,A2,अवस्थित
952,existence,Noun,B2,अस्तित्व
953,expand,Verb,B1,विस्तार
954,expect,Verb,A2,आशा
955,expectation,Noun,B2,आशाले
956,expected,Adjective,B1,अपेक्षा
957,expedition,Noun,B1,यात्रा
958,expense,Noun,B2,खर्च
959,expensive,Adjective,A1,महँगो
960,experience,Noun Verb,"A2, B1",अनुभव
961,experienced,Adjective,B1,अनुभवी
962,experiment,Noun Verb,"A2, B1",परिक्षण
963,expert,Noun Adjective,A2,विशेषज्ञ
964,explain,Verb,A1,व्याख्या
965,explanation,Noun,A2,व्याख्या
966,explode,Verb,B1,विस्फोट
967,exploration,Noun,B2,अन्वेषण
968,explore,Verb,B1,अन्वेषण
969,explosion,Noun,B1,विस्फोट
970,export,Noun Verb,B1,निर्यात
971,expose,Verb,B2,पर्दाफास
972,express,Verb,A2,एक्सप्रेस
973,expression,Noun,A2,अभिव्यक्ति
974,extend,Verb,B2,विस्तार
975,extent,Noun,B2,हदसम्म
976,external,Adjective,B2,बाह्य
977,extra,"Adjective, Noun Adverb","A1, B1",अतिरिक्त
978,extraordinary,Adjective,B2,असाधारण
979,extreme,"Adjective, Noun","A2, B2",चरम
980,extremely,Adverb,A2,अति
981,eye,Noun,A1,आँखा
982,face,Noun Verb,"A1, B1",अनुहार
983,facility,Noun,B2,सुविधा
984,fact,Noun,A1,वास्तवमा
985,factor,Noun,A2,कारक
986,factory,Noun,A2,कारखाना
987,fail,Verb,A2,अवश्य
988,failure,Noun,B2,विफलता
989,fair,Adjective,A2,निष्पक्ष
990,fairly,Adverb,B1,एकदम
991,faith,Noun,B2,विश्वास
992,fall,Verb Noun,"A1, A2",गिर
993,FALSE,Adjective,A1,गलत
994,familiar,Adjective,B1,परिचित
995,family,Noun Adjective,A1,परिवार
996,famous,Adjective,A1,प्रसिद्ध
997,fan,Noun,A2,प्रशंसक
998,fancy,Verb Adjective,B1,फैंसी
999,fantastic,Adjective,A1,शानदार
1000,far,"Adverb , Adjective","A1, B1",टाढा
1001,farm,Noun Verb,"A1, A2",खेत
1002,farmer,Noun,A1,किसान
1003,farming,Noun,A2,खेती
1004,fascinating,Adjective,B1,आकर्षक
1005,fashion,Noun,A2,फेसन
1006,fashionable,Adjective,B1,सुशील
1007,fast,"Adjective, Adverb",A1,छिटो
1008,fasten,Verb,B1,कस्नु
1009,fat,"Adjective, Noun","A1, A2",मोटो
1010,father,Noun,A1,बुबा
1011,fault,Noun,B2,गल्ती
1012,favour,Noun Verb,"B1, B2",पक्षमा
1013,favourite,"Adjective, Noun",A1,मनपर्ने
1014,fear,Noun Verb,"A2, B1",डर
1015,feather,Noun,B2,पंख
1016,feature,Noun Verb,"A2, B1",सुविधा
1017,February,Noun,A1,फेब्रुअरी
1018,fee,Noun,B2,शुल्क
1019,feed,Verb Noun,"A2, B2",फिड
1020,feedback,Noun,B2,प्रतिक्रिया
1021,feel,Verb Noun,"A1, B2",महसुस
1022,feeling,Noun,A1,भावना
1023,fellow,Adjective,B2,सँगी
1024,female,"Adjective, Noun",A2,महिला
1025,fence,Noun,B1,बार
1026,festival,Noun,A1,तिहार
1027,few,"det./Adjective, proNoun",A1,केही
1028,fiction,Noun,A2,कल्पना
1029,field,Noun,A2,क्षेत्र
1030,fifteen,number,A1,पन्ध्र
1031,fifth,number,A1,पाँचौं
1032,fifty,number,A1,पचास
1033,fight,Verb Noun,A2,लडाई
1034,fighting,Noun,B1,लड
1035,figure,Noun Verb,"A2, B2",आंकडा
1036,file,Noun Verb,"B1, B2",फाइल
1037,fill,Verb,A1,भर्न
1038,film,Noun Verb,"A1, A2",फिलिम
1039,final,"Adjective, Noun","A1, A2",अन्तिम
1040,finally,Adverb,A2,अन्तमा
1041,finance,Noun Verb,B2,वित्त
1042,financial,Adjective,B1,वित्तीय
1043,find,Verb,A1,फेला
1044,finding,Noun,B2,खोजन
1045,fine,Adjective,A1,ठीक
1046,finger,Noun,A2,औंला
1047,finish,Verb Noun,"A1, A2",समाप्त
1048,fire,Noun Verb,"A1, B1",आगो
1049,firm,Noun,B2,दृढ
1050,first,det./number.AdVerb Noun,"A1, A2",पहिलो
1051,firstly,Adverb,A2,पहिले
1052,fish,Noun Verb,"A1, A2",माछा
1053,fishing,Noun,A2,माछा मार्ने
1054,fit,Verb Adjective,A2,फिट
1055,fitness,Noun,B1,फिटनेस
1056,five,number,A1,पाँच
1057,fix,Verb Noun,"A2, B2",ठीक
1058,fixed,Adjective,B1,निश्चित
1059,flag,Noun,B1,झण्डा
1060,flame,Noun,B2,ज्वाला
1061,flash,Noun Verb,B2,फ्लैश
1062,flat,Noun Adjective,"A1, A2",समतल
1063,flexible,Adjective,B2,लचिलो
1064,flight,Noun,A1,उडान
1065,float,Verb,B2,फ्लोट
1066,flood,Noun Verb,B1,बाढी
1067,floor,Noun,A1,तल्ला
1068,flour,Noun,B1,पीठो
1069,flow,Verb Noun,B1,प्रवाह
1070,flower,Noun,A1,फूल
1071,flu,Noun,A2,फ्लू
1072,fly,Verb Noun,"A1, A2",उड
1073,flying,Noun Adjective,A2,उडान
1074,focus,Verb Noun,A2,ध्यान
1075,fold,Verb Noun,"B1, B2",गुना
1076,folding,Adjective,B2,तह
1077,folk,Noun Adjective,B1,लोक
1078,follow,Verb,A1,पछ्याउन
1079,following,"Adjective, Noun prep","A2, B1, B2",निम्न
1080,food,Noun,A1,खाना
1081,foot,Noun,A1,खुट्टा
1082,football,Noun,A1,फुटबल
1083,for,prep.,A1,लागि
1084,force,NounVerb,B1,शक्ति
1085,foreign,Adjective,A2,विदेशी
1086,forest,Noun,A2,जङ्गल
1087,forever,Adverb,B1,सधैंभरि
1088,forget,Verb,A1,भूल
1089,forgive,Verb,B2,क्षमा
1090,fork,Noun,A2,काँटा
1091,form,NounVerb,A1,फारम
1092,formal,Adjective,A2,औपचारिक
1093,former,Adjective,B2,पूर्व
1094,fortunately,Adverb,A2,भाग्यवस
1095,fortune,Noun,B2,भाग्य
1096,forty,number,A1,चालीस
1097,forward,AdVerb Adjective,"A2, B2",अगाडि
1098,found,Verb,B2,फेला
1099,four,number,A1,चार
1100,fourteen,number,A1,चौध
1101,fourth,number,A1,चौथो
1102,frame,NounVerb,B1,फ्रेम
1103,free,"Adjective, AdVerb Verb","A1,A2,B2",मुक्त
1104,freedom,Noun,B2,स्वतन्त्रता
1105,freeze,Verb,B1,स्थिर
1106,frequency,Noun,B2,आवृत्ति
1107,frequently,Adverb,B1,प्राय
1108,fresh,Adjective,A2,ताजा
1109,Friday,Noun,A1,शुक्रवार
1110,fridge,Noun,A2,फ्रिज
1111,friend,Noun,A1,मित्र
1112,friendly,Adjective,A1,मैत्री
1113,friendship,Noun,B1,मित्रता
1114,frighten,Verb,B1,भयभीत
1115,frightened,Adjective,B1,डरा
1116,frightening,Adjective,B1,भयावह
1117,frog,Noun,A2,भ्यागुतो
1118,from,prep,A1,बाट
1119,front,Noun Adjective,A1,अगाडि
1120,frozen,Adjective,B1,स्थिर
1121,fruit,Noun,A1,फल
1122,fry,Verb,B1,भुट्नु
1123,fuel,Noun Verb,"B1, B2",इन्धन
1124,full,Adjective,A1,पूर्ण
1125,fully,Adverb,B2,पूर्णतया
1126,fun,Noun Adjective,"A1, A2",रमाइलो
1127,function,Noun Verb,"B1, B2",समारोह
1128,fund,Noun Verb,B2,कोष
1129,fundamental,Adjective,B2,मौलिक
1130,funding,Noun,B2,कोष
1131,funny,Adjective,A1,हास्यास्पद
1132,fur,Noun,B1,फर
1133,furniture,Noun,A2,फर्नीचर
1134,further,"Adjective, Adverb","A2, B1",थप
1135,furthermore,Adverb,B2,यसबाहेक
1136,future,Noun Adjective,"A1, A2",भविष्यमा
1137,gain,Verb Noun,B2,पाउनु
1138,gallery,Noun,A2,ग्यालरी
1139,game,Noun,A1,खेल
1140,gang,Noun,B2,गिरोह
1141,gap,Noun,A2,खाली
1142,garage,Noun,B1,ग्यारेज
1143,garden,Noun,A1,बगैचा
1144,gas,Noun,A2,ग्याँस
1145,gate,Noun,A2,गेट
1146,gather,Verb,B1,भेला
1147,general,Adjective,A2,सामान्य
1148,generally,Adverb,B1,साधारणतया
1149,generate,Verb,B2,उत्पन्न
1150,generation,Noun,B1,पुस्ता
1151,generous,Adjective,B1,उदार
1152,genre,Noun,B2,विधा
1153,gentle,Adjective,B1,कोमल
1154,gentleman,Noun,B1,सज्जन
1155,geography,Noun,A1,भूगोल
1156,get,Verb,A1,प्राप्त
1157,ghost,Noun,B1,भूत
1158,giant,"Adjective, Noun",B1,विशाल
1159,gift,Noun,A2,उपहार
1160,girl,Noun,A1,केटी
1161,girlfriend,Noun,A1,प्रेमिका
1162,give,Verb,A1,दिनु
1163,glad,Adjective,B1,खुसी
1164,glass,Noun,A1,ग्लास
1165,global,Adjective,B1,वैश्विक
1166,glove,Noun,B1,पन्जा
1167,go,Verb Noun,"A1, B1",गोमा
1168,goal,Noun,A2,लक्ष्य
1169,God,Noun,A2,भगवान
1170,gold,Noun Adjective,A2,सुन
1171,golf,Noun,A2,गल्फ
1172,good,"Adjective, Noun","A1, A2",राम्रो
1173,goodbye,exclam. Noun,A1,अलविदा
1174,goods,Noun,B1,सामान
1175,govern,Verb,B2,शासन
1176,government,Noun,A2,सरकार
1177,grab,Verb,B2,लिनु
1178,grade,Noun Verb,"B1, B2",ग्रेड
1179,gradually,Adverb,B2,बिस्तारै
1180,graduate,Noun Verb,B1,स्नातक
1181,grain,Noun,B1,अन्न
1182,grand,Adjective,B2,महान्
1183,grandfather,Noun,A1,हजुरबुबा
1184,grandmother,Noun,A1,हजुरआमा
1185,grandparent,Noun,A1,Grandparent
1186,grant,Verb Noun,B2,अनुदान
1187,grass,Noun,A2,घाँस
1188,grateful,Adjective,B1,कृतज्ञ
1189,great,Adjective,A1,ठूलो
1190,green,"Adjective, Noun",A1,हरियो
1191,greet,Verb,A2,अभिवादन
1192,grey,"Adjective, Noun",A1,खैरो
1193,ground,Noun,A2,जमीन
1194,group,Noun,A1,समूह
1195,grow,Verb,A1,बढ्न
1196,growth,Noun,B1,वृद्धि
1197,guarantee,Verb Noun,B2,ग्यारेन्टी
1198,guard,Noun Verb,B1,गार्ड
1199,guess,Verb Noun,A1,अनुमान
1200,guest,Noun,A2,अतिथि
1201,guide,Noun Verb,A2,पुस्तिका
1202,guilty,Adjective,B1,दोषी
1203,guitar,Noun,A1,गिटार
1204,gun,Noun,A2,बन्दूक
1205,guy,Noun,A2,मान्छे
1206,gym,Noun,A1,जिम
1207,habit,Noun,A2,बानी
1208,hair,Noun,A1,बाल
1209,half,"Noundet.proNoun, Adverb","A1, A2",आधा
1210,hall,Noun,A2,हल
1211,hand,Noun Verb,"A1, B1",हात
1212,handle,Verb Noun,B2,ह्याण्डल
1213,hang,Verb,B1,टास्नु
1214,happen,Verb,A1,हुन
1215,happily,Adverb,A2,खुसीको कुरा
1216,happiness,Noun,B1,आनन्द
1217,happy,Adjective,A1,खुसी
1218,hard,"Adjective, Adverb",A1,कडा
1219,hardly,Adverb,B1,मुश्किलले
1220,harm,Noun Verb,B2,हानि
1221,harmful,Adjective,B2,हानिकारक
1222,hat,Noun,A1,टोपी
1223,hate,Verb Noun,"A1, B1",घृणा
1224,have,Verb auxiliary Verb,"A1, A2",छ
1225,have to modal,Verb,A1,गर्न सर्वसाधारण
1226,he,proNoun,A1,उहाँले
